project,repeat,metric,NB,XGBoost_ablation,XGBoost_proposed
tensorflow,6,prec,0.575128633013489,0.835,0.8297560618269724
tensorflow,7,prec,0.5906040268456376,0.8035809018567639,0.8173452956061651
tensorflow,8,prec,0.5714040154015401,0.817953667953668,0.7914901363696545
tensorflow,9,prec,0.5576079948420374,0.8118528610354223,0.8215698483627574
tensorflow,10,prec,0.5532325098129762,0.8676255993329164,0.8788733426122628
tensorflow,11,prec,0.5537250261684795,0.8451224448492208,0.8548259493670887
tensorflow,12,prec,0.576526402640264,0.8404443701971267,0.8284787501654971
tensorflow,13,prec,0.5535534696614147,0.8713338385752178,0.8515555555555556
tensorflow,14,prec,0.5985457656116339,0.8401365823374205,0.8459544383346426
tensorflow,15,prec,0.5715697346132129,0.8055034396497811,0.8101088101088101
tensorflow,16,prec,0.5619870651204282,0.8152719508540606,0.8320160323643991
tensorflow,17,prec,0.5821438012159662,0.767271953468577,0.8074276462254604
tensorflow,18,prec,0.5757636387888488,0.8148318910483756,0.7989785785217762
tensorflow,19,prec,0.5429115677672594,0.8068999100988912,0.7888249945058969
tensorflow,20,prec,0.5325480015673981,0.8035809018567639,0.8068999100988912
tensorflow,21,prec,0.5487516570923553,0.7956451612903226,0.8035809018567639
tensorflow,22,prec,0.5452345977706731,0.8625009156838327,0.8598333333333333
tensorflow,23,prec,0.5956375838926175,0.8327476269835519,0.8403880731195685
tensorflow,24,prec,0.572632959146117,0.8520950594121326,0.8365645194913487
tensorflow,25,prec,0.5666071589984634,0.8309803100125681,0.8401365823374205
tensorflow,26,prec,0.5602853819631952,0.8289882531261842,0.8571321546299071
tensorflow,27,prec,0.565995812005584,0.8184444444444444,0.7977381696893893
tensorflow,28,prec,0.5320807314897413,0.8590699622957687,0.86447454308094
tensorflow,29,prec,0.5525850340136055,0.865136584305485,0.8423024523160763
tensorflow,0,rec,0.5691656828020465,0.8168044077134986,0.8392365210547028
tensorflow,1,rec,0.5825462416371507,0.806719795356159,0.838301849665486
tensorflow,2,rec,0.6456611570247934,0.7897481306572216,0.7998327430145612
tensorflow,3,rec,0.62047422274695,0.7673160173160174,0.7851731601731602
tensorflow,4,rec,0.6268693427784338,0.8195100354191263,0.8108028335301063
tensorflow,5,rec,0.5618850846123573,0.8378099173553719,0.8419421487603306
tensorflow,6,rec,0.6063065722156631,0.7966351829988194,0.7952577725304999
tensorflow,7,rec,0.6319362455726092,0.762741046831956,0.771448248720976
tensorflow,8,rec,0.6021743408107044,0.797077922077922,0.7888134592680047
tensorflow,9,rec,0.5879083038173947,0.800275482093664,0.7879279811097992
tensorflow,10,rec,0.5756099960645416,0.8470090515545061,0.8392365210547028
tensorflow,11,rec,0.5774301456119638,0.8355470287288469,0.838301849665486
tensorflow,12,rec,0.609504132231405,0.8341696182605274,0.8254624163715073
tensorflow,13,rec,0.5733471074380165,0.82137937819756,0.8112947658402203
tensorflow,14,rec,0.6511216056670602,0.7874852420306966,0.7888626524990161
tensorflow,15,rec,0.608077528532074,0.7883707201889021,0.7897481306572216
tensorflow,16,rec,0.591155057064148,0.7760232192050374,0.7906828020464385
tensorflow,17,rec,0.6222943722943723,0.747146792601338,0.7988980716253443
tensorflow,18,rec,0.61176702085793,0.7911255411255411,0.7764659582841401
tensorflow,19,rec,0.5609504132231405,0.7686934277843369,0.7586088154269972
tensorflow,20,rec,0.5435852026761118,0.762741046831956,0.7686934277843369
tensorflow,21,rec,0.5723632428177883,0.7705135773317591,0.762741046831956
tensorflow,22,rec,0.5686737504919324,0.8245769382133019,0.818624557260921
tensorflow,23,rec,0.6392660369933097,0.8012101534828808,0.7980125934671389
tensorflow,24,rec,0.603551751279024,0.8323494687131051,0.8176898858717041
tensorflow,25,rec,0.5966646989374262,0.7591007477371114,0.7874852420306966
tensorflow,26,rec,0.5951889020070839,0.7847304210940576,0.8126721763085399
tensorflow,27,rec,0.5930243998425817,0.7819756001574183,0.7810409287682014
tensorflow,28,rec,0.5471763085399449,0.7810901219992129,0.7929948839039749
tensorflow,29,rec,0.5760527351436442,0.8305293191656828,0.829594647776466
tensorflow,0,f1,0.5394364020400804,0.8414668747340048,0.8570638411878073
tensorflow,1,f1,0.5664342100605331,0.8274131274131274,0.846189353184561
